spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1,0,2,1,5.0,2,da,3,3,7,1,,85.0,16.0,1.8571428571428568,2.0,0.5714285714285714,1.0,1.25,1.0,0.5,1.1666666666666667,2.0,0.5833333333333334
0,1,2,2,5.0,2,da,3,3,7,1,,84.0,15.0,1.5,1.0,0.7142857142857143,0.8,0.5,1.5,-0.25,1.1666666666666667,1.2857142857142858,1.5833333333333333
0,1,2,2,2.0,0,da,3,3,7,1,,86.0,13.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1,0,0,4.0,1,da,0,3,7,1,,87.0,42.0,1.7857142857142858,1.125,1.8571428571428568,1.4,1.625,1.0,1.75,2.0,2.0,1.25
0,1,2,2,5.0,1,da,3,3,7,1,,82.0,11.0,2.0,2.0,1.5714285714285714,2.0,2.0,1.25,0.75,2.0,2.0,2.0
0,0,2,2,4.0,1,da,3,3,7,1,,85.0,30.0,1.9285714285714288,1.5,1.2857142857142858,1.2,1.75,1.5,0.5,1.0,0.8571428571428571,1.1666666666666667
1,0,2,1,6.0,1,da,3,3,7,1,,87.0,11.0,2.0,2.0,2.0,1.0,1.0,1.5,0.5,1.0,1.8571428571428568,1.0
1,1,2,1,5.0,0,da,3,3,7,1,,84.0,27.0,1.9285714285714288,2.0,1.7142857142857142,1.6,1.75,1.75,1.5,1.8333333333333333,1.7142857142857142,1.4166666666666667
0,1,1,1,4.0,0,da,3,3,7,1,,83.0,38.0,1.2857142857142858,0.875,0.1428571428571428,0.8,0.875,1.75,1.0,0.0,1.4285714285714286,1.1666666666666667
1,1,2,1,4.0,1,da,3,3,7,1,,80.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1,2,2,4.0,0,da,0,3,7,1,,77.0,22.0,0.7142857142857143,1.125,2.0,2.0,2.0,2.0,2.0,2.0,1.1428571428571428,1.0833333333333333
1,1,2,1,4.0,1,da,3,3,7,1,,86.0,18.0,1.9285714285714288,1.75,1.8571428571428568,1.8,2.0,2.0,2.0,1.5,1.8571428571428568,1.75
1,1,2,1,5.0,1,da,3,3,7,1,,86.0,18.0,2.0,1.75,1.8571428571428568,1.8,2.0,2.0,2.0,1.5,1.8571428571428568,1.75
1,1,2,1,6.0,2,da,3,3,7,1,,83.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7142857142857142,1.8333333333333333
0,1,2,1,4.0,0,da,3,3,7,1,,94.0,13.0,2.0,1.0,0.4285714285714285,1.4,1.625,1.0,0.5,1.3333333333333333,1.4285714285714286,1.4166666666666667
1,1,2,1,5.0,2,da,3,3,7,1,,78.0,34.0,2.0,1.5,2.0,1.8,2.0,2.0,1.5,2.0,1.8571428571428568,1.0833333333333333
1,1,2,2,6.0,1,da,3,3,7,1,"Otrokovo počutje v vrtcu je v veliki meri odvisno od vzgojiteljice-a, pa tudi od ostalih otrok v skupini (oz. okolja, iz katerega prihajajo). Moji otroci so se vedno dobro počutili v manjšem vrtcu, s preprostejšimi vrstniki in vzgojiteljicami. V velikem vrtcu imam občutek, da se ""izgubijo"" oz. da so ""številke"". Veliko pomeni, da je otrokom isti vzgojitelj več let.",82.0,12.5,2.0,1.75,1.8571428571428568,1.8,2.0,2.0,2.0,2.0,2.0,1.0
0,1,1,1,4.0,0,da,3,3,7,1,,87.0,53.0,2.0,2.0,2.0,1.2,2.0,2.0,1.5,1.5,1.7142857142857142,1.6666666666666667
1,1,2,2,5.0,0,da,3,3,7,1,,84.0,27.0,0.7142857142857143,0.125,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.6666666666666666
1,1,2,1,5.0,0,da,2,3,7,1,,85.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1,2,1,4.0,0,da,3,3,7,1,,79.0,41.752508361204015,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0,1,3,1,3.0,0,da,3,3,7,1,,81.0,13.0,1.2142857142857142,1.25,1.5714285714285714,0.8,1.875,1.25,0.25,1.5,1.5714285714285714,1.25
1,1,1,1,4.0,0,da,0,3,8,1,,93.0,25.0,2.0,1.75,2.0,1.6,2.0,2.0,1.5,2.0,2.0,2.0
